Name,Type,Subtype,Language,en Translation,Category,Subcategory,Pricing Category,Length,Under offer,Offer date,Sold price,Sold date,domainname.tld,createprice,renewprice,transferprice,Registrar,Status,Allocated?
carbon,Premium,"Make offer,Future grant",en,,Science,Materials,1,6,,,,,carbon.eco,,50,50,,,
carbonneutral,Premium,"Make offer,Future grant",en,,Science,Eco,1,13,,,,,carbonneutral.eco,,50,50,,,
carbontax,Premium,Make offer,en,,Finance,Environment,1,9,,,,,carbontax.eco,,50,50,,,
card,Premium,Make offer,en,,Shopping,General ,1,4,,,,,card.eco,,50,50,,,
cardealership,Premium,Make offer,en,,Shopping,Vehicle,1,13,,,,,cardealership.eco,,50,50,,,
care,Premium,Make offer,en,,Generic,General,1,4,,,,,care.eco,,50,50,,,
cargo,Premium,Make offer,en,,Generic,General,1,5,,,,,cargo.eco,,50,50,,,
carpet,Premium,Make offer,en,,Products,Design,1,6,,,,,carpet.eco,,50,50,,,
cars,Premium,Make offer,en,,Travel,Transportation,1,4,,,,,cars.eco,,50,50,,,
cause,Premium,"Make offer,Future grant",en,,NonProfit,Eco,1,5,,,,,cause.eco,,50,50,,,
causes,Premium,"Make offer,Future grant",en,,Business,Eco,1,6,,,,,causes.eco,,50,50,,,
cdm,Premium,Make offer,en,,,,1,3,,,,,cdm.eco,,50,50,,,
cellulose,Premium,Make offer,en,,Science,General,1,9,,,,,cellulose.eco,,50,50,,,
centralamerica,Premium,"Make offer,Future grant",en,,Geo,Region,1,14,,,,,centralamerica.eco,,50,50,,,
certification,Premium,Make offer,en,,Business,Eco,1,13,,,,,certification.eco,,50,50,,,
certified,Premium,Make offer,en,,Business,Eco,1,9,,,,,certified.eco,,50,50,,,
charity,Premium,"Make offer,Future grant",en,,Business,Eco,1,7,,,,,charity.eco,,50,50,,,
chat,Premium,Make offer,en,,Generic,General,1,4,,,,,chat.eco,,50,50,,,
check,Premium,Make offer,en,,Generic,General,1,5,,,,,check.eco,,50,50,,,
children,Premium,"Make offer,Future grant",en,,Society,Baby/Child,1,8,,,,,children.eco,,50,50,,,
chocolate,Premium,Make offer,en,,Grocery,Food,1,9,,,,,chocolate.eco,,50,50,,,
cities,"Registry,Premium","SDG,Operations,Make offer",en,,,,1,6,,,,,cities.eco,,50,50,,,
classifieds,Premium,Make offer,en,,Shopping,General,1,11,,,,,classifieds.eco,,50,50,,,
clean,Premium,"Make offer,Future grant",en,,Science,Verbs,1,5,,,,,clean.eco,,50,50,,,
cleanair,Premium,"Make offer,Future grant",en,,Science,Green,1,8,,,,,cleanair.eco,,50,50,,,
cleanenergy,Premium,"Make offer,Future grant",en,,Science,Energy,1,11,,,,,cleanenergy.eco,,50,50,,,
cleaning,Premium,Make offer,en,,Generic,General,1,8,,,,,cleaning.eco,,50,50,,,
cleanwater,Premium,"Make offer,Future grant",en,,NonProfit,General,1,10,,,,,cleanwater.eco,,50,50,,,
climatechange,Premium,"Make offer,Future grant",en,,NonProfit,Climate,1,13,,,,,climatechange.eco,,50,50,,,
clothes,Premium,"Make offer,Future grant",en,,Products,Clothing,1,7,,,,,clothes.eco,,50,50,,,
cloud,Premium,Make offer,en,,Technology,General ,1,5,,,,,cloud.eco,,50,50,,,
club,Premium,Make offer,en,,Generic,General,1,4,,,,,club.eco,,50,50,,,
co2,Premium,Make offer,en,,Combinations,Acronym,1,3,,,,,co2.eco,,50,50,,,
coast,Premium,"Make offer,Future grant",en,,Geo,General,1,5,,,,,coast.eco,,50,50,,,
cocoa,Premium,"Make offer,Future grant",en,,Industry,Commodity,1,5,,,,,cocoa.eco,,50,50,,,
coffee,Premium,"Make offer,Future grant",en,,Grocery,Beverage,1,6,,,,,coffee.eco,,50,50,,,
com,Premium,Make offer,en,,Generic,General ,1,3,,,,,com.eco,,50,50,,,
commerce,Premium,Make offer,en,,Finance,General ,1,8,,,,,commerce.eco,,50,50,,,
commodity,Premium,Make offer,en,,Finance,Commodity,1,9,,,,,commodity.eco,,50,50,,,
communities,Premium,Make offer,en,,,,1,11,,,,,communities.eco,,50,50,,,
compare,Premium,Make offer,en,,Generic,Verbs,1,7,,,,,compare.eco,,50,50,,,
compost,Premium,Make offer,en,,Science,Eco,1,7,,,,,compost.eco,,50,50,,,
